Language,Count
Python,694
Go,657
JavaScript,358
Rust,232
Others,149
TypeScript,105
C,103
Shell,101
C++,93
Vim script,47
HTML,45
CSS,40
Ruby,39
Crystal,33
Objective-C,33
Java,28
Haskell,27
Vue,24
Swift,23
PHP,20
C#,17
Jupyter Notebook,16
Elixir,14
Dockerfile,12
Perl,11
Nim,10
Dart,9
Emacs Lisp,9
Kotlin,7
Makefile,6
Lua,5
CoffeeScript,4
OCaml,4
TeX,4
VimL,4
Assembly,3
Batchfile,3
Clojure,3
Erlang,3
Nix,3
Objective-C++,3
SCSS,3
Scala,3
PowerShell,2
R,2
Rich Text Format,2
TSQL,2
V,2
ASL,1
ApacheConf,1
AppleScript,1
Awk,1
Classic ASP,1
D,1
Dhall,1
Hy,1
Idris,1
Julia,1
Less,1
MATLAB,1
Markdown,1
Mustache,1
NSIS,1
Nunjucks,1
PLpgSQL,1
Prolog,1
PureScript,1
QML,1
RAML,1
Rascal,1
Ring,1
Roff,1
Scheme,1
TLA,1
XSLT,1
Yacc,1
